,,0
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.weeklyCovidAdmissions,1.0
actuals.vaccinationsCompleted,actuals.vaccinationsInitiated,0.9980982560617268
actuals.vaccinesAdministered,actuals.vaccinationsInitiated,0.9967387810520408
actuals.vaccinationsCompleted,actuals.vaccinesAdministered,0.995812717801007
actuals.vaccinesDistributed,actuals.vaccinesAdministered,0.991899784338856
actuals.vaccinationsInitiated,actuals.vaccinesDistributed,0.9887694238916794
actuals.vaccinesDistributed,actuals.vaccinationsCompleted,0.9858297319036664
actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.capacity,0.9853847724286676
actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,0.983386366535634
actuals.hospitalBeds.capacity,actuals.icuBeds.currentUsageTotal,0.9822169472724834
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.currentUsageTotal,0.977439170589653
actuals.icuBeds.capacity,actuals.hospitalBeds.capacity,0.9759064047337592
actuals.icuBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9707897180434623
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageCovid,0.9519414692018768
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageCovid,0.9497448543988114
actuals.deaths,actuals.hospitalBeds.capacity,0.9338164241257612
actuals.cases,actuals.deaths,0.9320112836140857
actuals.cases,actuals.hospitalBeds.capacity,0.9317425837040331
actuals.hospitalBeds.currentUsageTotal,actuals.deaths,0.9307154355445566
actuals.vaccinesDistributed,actuals.hospitalBeds.currentUsageTotal,0.9297258451346758
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.currentUsageCovid,0.9292597731493857
actuals.deaths,actuals.icuBeds.currentUsageTotal,0.9233325439960205
actuals.icuBeds.capacity,actuals.deaths,0.9220556752609677
actuals.cases,actuals.positiveTests,0.9219130832501228
actuals.cases,actuals.icuBeds.currentUsageTotal,0.9215557187791951
actuals.vaccinationsInitiated,actuals.hospitalBeds.currentUsageTotal,0.9198981485399629
actuals.hospitalBeds.currentUsageTotal,actuals.cases,0.9198232554351127
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinesAdministered,0.9123983386873008
actuals.vaccinationsCompleted,actuals.hospitalBeds.currentUsageTotal,0.9109875920593187
actuals.cases,actuals.icuBeds.capacity,0.9088258189739862
actuals.hospitalBeds.capacity,actuals.vaccinesDistributed,0.9074200034563857
actuals.vaccinesDistributed,actuals.cases,0.9057535730750341
actuals.vaccinesDistributed,actuals.icuBeds.capacity,0.9043184615257955
actuals.icuBeds.currentUsageTotal,actuals.vaccinesDistributed,0.8992385538161866
actuals.icuBeds.capacity,actuals.vaccinationsInitiated,0.8963481836930367
actuals.positiveTests,actuals.vaccinesAdministered,0.8960018076010516
actuals.vaccinationsInitiated,actuals.hospitalBeds.capacity,0.8945414517933764
actuals.vaccinationsInitiated,actuals.positiveTests,0.8938874566778369
actuals.vaccinesDistributed,actuals.positiveTests,0.8938822787982145
actuals.positiveTests,actuals.vaccinationsCompleted,0.8883238124101782
actuals.hospitalBeds.capacity,actuals.vaccinesAdministered,0.8876101105227246
actuals.vaccinesAdministered,actuals.icuBeds.capacity,0.8866389450102676
actuals.vaccinesAdministered,actuals.cases,0.8865027491336639
actuals.icuBeds.capacity,actuals.vaccinationsCompleted,0.8857853748300389
actuals.vaccinationsCompleted,actuals.hospitalBeds.capacity,0.885672555700956
actuals.vaccinationsInitiated,actuals.icuBeds.currentUsageTotal,0.8834668490274177
actuals.cases,actuals.vaccinationsInitiated,0.8804046682800941
actuals.icuBeds.currentUsageTotal,actuals.vaccinesAdministered,0.8757518325315051
actuals.deaths,actuals.vaccinesDistributed,0.8752111015486121
actuals.hospitalBeds.currentUsageTotal,actuals.positiveTests,0.8747976763321162
actuals.vaccinationsCompleted,actuals.cases,0.8734024234461122
actuals.icuBeds.currentUsageTotal,actuals.vaccinationsCompleted,0.8714175014230395
actuals.positiveTests,actuals.deaths,0.8573413880107451
actuals.hospitalBeds.capacity,actuals.positiveTests,0.8560145501803835
actuals.vaccinesAdministered,actuals.deaths,0.8494721367932838
actuals.vaccinationsCompleted,actuals.negativeTests,0.849464003126703
actuals.vaccinesAdministered,actuals.negativeTests,0.8490272418195256
actuals.negativeTests,actuals.vaccinationsInitiated,0.8490035495626065
actuals.vaccinationsInitiated,actuals.deaths,0.8429188642060008
actuals.positiveTests,actuals.icuBeds.currentUsageTotal,0.841884516336335
actuals.icuBeds.capacity,actuals.positiveTests,0.8413947092419443
actuals.vaccinationsCompleted,actuals.deaths,0.8351320542037769
actuals.negativeTests,actuals.vaccinesDistributed,0.8337176406352144
actuals.negativeTests,actuals.positiveTests,0.8191118933145358
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,0.8080268937191779
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.8031947941769744
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageTotal,0.777417188516436
actuals.icuBeds.capacity,actuals.icuBeds.currentUsageCovid,0.7715233315728438
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.capacity,0.7673405571018771
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.capacity,0.7667434925029253
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,0.7607004427163542
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageTotal,0.7524931167031148
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.weeklyCovidAdmissions,0.751970152930232
actuals.icuBeds.currentUsageCovid,actuals.cases,0.7444626331706458
actuals.negativeTests,actuals.hospitalBeds.currentUsageTotal,0.7441084636801701
actuals.vaccinationsInitiated,actuals.hospitalBeds.currentUsageCovid,0.7405031854964352
actuals.vaccinesDistributed,actuals.hospitalBeds.currentUsageCovid,0.7389111065573128
actuals.hospitalBeds.currentUsageCovid,actuals.cases,0.7388390890001918
actuals.vaccinesAdministered,actuals.hospitalBeds.currentUsageCovid,0.7309278836806135
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinationsCompleted,0.7284004975389683
actuals.hospitalBeds.currentUsageCovid,actuals.positiveTests,0.7241701035295546
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.capacity,0.7235918351558279
actuals.vaccinationsInitiated,actuals.contactTracers,0.7200117537785353
actuals.positiveTests,actuals.contactTracers,0.7199836370350895
actuals.contactTracers,actuals.vaccinationsCompleted,0.717441355504199
actuals.cases,actuals.hospitalBeds.weeklyCovidAdmissions,0.7151326229077553
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageTotal,0.714838424943629
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.capacity,0.7145208580860816
actuals.contactTracers,actuals.vaccinesAdministered,0.7138372868157633
actuals.cases,actuals.negativeTests,0.708504348672804
actuals.positiveTests,actuals.icuBeds.currentUsageCovid,0.7034236522821039
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.positiveTests,0.7016927028250863
actuals.vaccinationsInitiated,actuals.icuBeds.currentUsageCovid,0.6988338789217661
actuals.contactTracers,actuals.vaccinesDistributed,0.6968123255997309
actuals.icuBeds.currentUsageCovid,actuals.vaccinesDistributed,0.6931002194523168
actuals.negativeTests,actuals.icuBeds.capacity,0.6910321393187996
actuals.vaccinationsCompleted,actuals.icuBeds.currentUsageCovid,0.6847277315784677
actuals.vaccinesAdministered,actuals.icuBeds.currentUsageCovid,0.6842444656465835
actuals.newCases,actuals.newDeaths,0.6841899314545044
actuals.hospitalBeds.capacity,actuals.negativeTests,0.6823295812573733
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.vaccinationsInitiated,0.6808872548016625
actuals.deaths,actuals.hospitalBeds.currentUsageCovid,0.6793449294535945
actuals.contactTracers,actuals.cases,0.6778175747454033
actuals.vaccinesAdministered,actuals.hospitalBeds.weeklyCovidAdmissions,0.6723949053086344
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.vaccinationsCompleted,0.6714193367286817
actuals.vaccinesDistributed,actuals.hospitalBeds.weeklyCovidAdmissions,0.6702445754134719
actuals.icuBeds.capacity,actuals.contactTracers,0.6684499496036601
actuals.negativeTests,actuals.icuBeds.currentUsageTotal,0.6678783043539577
actuals.hospitalBeds.currentUsageTotal,actuals.contactTracers,0.6647302111207696
actuals.icuBeds.currentUsageCovid,actuals.deaths,0.6582469002084375
actuals.negativeTests,actuals.deaths,0.6542239422748932
actuals.contactTracers,actuals.icuBeds.currentUsageTotal,0.6479865507775195
actuals.hospitalBeds.capacity,actuals.contactTracers,0.6328699859342632
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.deaths,0.630265522511835
actuals.contactTracers,actuals.negativeTests,0.6176820925113797
actuals.deaths,actuals.contactTracers,0.582643690325367
actuals.contactTracers,actuals.icuBeds.currentUsageCovid,0.5742319591142003
actuals.hospitalBeds.currentUsageCovid,actuals.contactTracers,0.5727247992327567
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.contactTracers,0.5578389794310642
actuals.negativeTests,actuals.hospitalBeds.currentUsageCovid,0.5248833746208798
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.negativeTests,0.4609875637407007
actuals.icuBeds.currentUsageCovid,actuals.negativeTests,0.46068618469157624
actuals.newCases,actuals.hospitalBeds.currentUsageCovid,0.37889419623588294
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.newCases,0.36504233772155914
actuals.newCases,actuals.icuBeds.currentUsageCovid,0.35334560294686584
actuals.vaccinesDistributed,actuals.vaccinationsAdditionalDose,0.3532828108102783
actuals.vaccinationsAdditionalDose,actuals.vaccinesAdministered,0.34071986322597264
actuals.cases,actuals.vaccinationsAdditionalDose,0.3281208043148701
actuals.icuBeds.currentUsageCovid,actuals.newDeaths,0.3220114471310664
actuals.newDeaths,actuals.icuBeds.currentUsageTotal,0.3146467338903612
actuals.deaths,actuals.vaccinationsAdditionalDose,0.3120768780534556
actuals.newDeaths,actuals.hospitalBeds.currentUsageCovid,0.3068478359647098
actuals.vaccinationsAdditionalDose,actuals.positiveTests,0.2935802710112732
actuals.newDeaths,actuals.hospitalBeds.currentUsageTotal,0.29101734451050576
actuals.vaccinationsInitiated,actuals.vaccinationsAdditionalDose,0.2851685142270466
