,,0
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.weeklyCovidAdmissions,1.0
actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,0.9898383141647671
actuals.vaccinesDistributed,actuals.vaccinesAdministered,0.985440156794846
actuals.vaccinationsInitiated,actuals.vaccinesAdministered,0.9852000596793535
actuals.vaccinationsCompleted,actuals.vaccinesAdministered,0.9799470640912236
actuals.vaccinationsInitiated,actuals.vaccinesDistributed,0.9692426057424677
actuals.vaccinesDistributed,actuals.vaccinationsCompleted,0.9615789344781999
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageCovid,0.9600770256999341
actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.capacity,0.9408639575917652
actuals.hospitalBeds.capacity,actuals.icuBeds.capacity,0.9299607803453808
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageCovid,0.9131616913677694
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.currentUsageCovid,0.8743398809704109
actuals.cases,actuals.deaths,0.8559722133350096
actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,0.8547461474886529
actuals.hospitalBeds.currentUsageTotal,actuals.deaths,0.8477093141958124
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.capacity,0.8405778995945687
actuals.deaths,actuals.hospitalBeds.capacity,0.823463569733418
actuals.vaccinesDistributed,actuals.positiveTests,0.8217081765437299
actuals.deaths,actuals.vaccinesDistributed,0.8164367223401915
actuals.icuBeds.capacity,actuals.deaths,0.8057293588672052
actuals.cases,actuals.icuBeds.capacity,0.8030345872099747
actuals.hospitalBeds.capacity,actuals.icuBeds.currentUsageTotal,0.7987839448696578
actuals.positiveTests,actuals.cases,0.7969385790276243
actuals.vaccinationsInitiated,actuals.deaths,0.7927637434081777
actuals.vaccinesAdministered,actuals.positiveTests,0.7901324106826791
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsCompleted,0.7895082680788951
actuals.vaccinesDistributed,actuals.hospitalBeds.currentUsageTotal,0.7866854670724206
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsInitiated,0.7860155867742317
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.currentUsageTotal,0.7845655574947205
actuals.deaths,actuals.vaccinationsCompleted,0.7730493119117909
actuals.vaccinesAdministered,actuals.deaths,0.7682817744295716
actuals.vaccinationsCompleted,actuals.hospitalBeds.capacity,0.7664240730335679
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinesAdministered,0.7635058006242837
actuals.vaccinesAdministered,actuals.negativeTests,0.7599826393772989
actuals.vaccinesDistributed,actuals.cases,0.7591342328863384
actuals.hospitalBeds.capacity,actuals.cases,0.7582518952191835
actuals.icuBeds.currentUsageTotal,actuals.cases,0.7546515069060601
actuals.vaccinationsInitiated,actuals.hospitalBeds.capacity,0.7537132668836697
actuals.negativeTests,actuals.vaccinationsCompleted,0.7526116696622475
actuals.vaccinationsCompleted,actuals.positiveTests,0.7498106607470195
actuals.vaccinationsInitiated,actuals.positiveTests,0.7423402120945455
actuals.hospitalBeds.capacity,actuals.vaccinesDistributed,0.7416019451442771
actuals.cases,actuals.hospitalBeds.currentUsageTotal,0.7381565875124219
actuals.vaccinationsInitiated,actuals.negativeTests,0.7366287496177274
actuals.vaccinesAdministered,actuals.hospitalBeds.capacity,0.7154687151770915
actuals.vaccinesDistributed,actuals.negativeTests,0.715271432090708
actuals.deaths,actuals.positiveTests,0.6957949548877936
actuals.cases,actuals.vaccinesAdministered,0.6951811223039963
actuals.vaccinationsCompleted,actuals.icuBeds.capacity,0.6888689870549234
actuals.vaccinationsInitiated,actuals.cases,0.677496299809005
actuals.icuBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.6754822793167001
actuals.vaccinesDistributed,actuals.icuBeds.capacity,0.6751065049956168
actuals.icuBeds.capacity,actuals.vaccinationsInitiated,0.6741398188776421
actuals.vaccinationsCompleted,actuals.cases,0.6648304305132269
actuals.deaths,actuals.icuBeds.currentUsageTotal,0.6608553810652228
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,0.6397959949188218
actuals.icuBeds.capacity,actuals.vaccinesAdministered,0.6273106607218815
actuals.negativeTests,actuals.positiveTests,0.5945601672913047
actuals.contactTracers,actuals.negativeTests,0.5901202524925768
actuals.newDeaths,actuals.newCases,0.589209421446129
actuals.negativeTests,actuals.deaths,0.5774418588833716
actuals.contactTracers,actuals.vaccinationsCompleted,0.5753170698292273
actuals.hospitalBeds.currentUsageTotal,actuals.positiveTests,0.5720739405004508
actuals.positiveTests,actuals.icuBeds.capacity,0.5705070170453629
actuals.vaccinationsInitiated,actuals.contactTracers,0.5695681968871597
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.weeklyCovidAdmissions,0.554850039482513
actuals.hospitalBeds.capacity,actuals.positiveTests,0.5482634456002675
actuals.negativeTests,actuals.hospitalBeds.currentUsageTotal,0.5436865992392732
actuals.vaccinesAdministered,actuals.contactTracers,0.5435558291785815
actuals.icuBeds.currentUsageTotal,actuals.vaccinesDistributed,0.5392566554426846
actuals.vaccinationsAdditionalDose,actuals.positiveTests,0.5324316943124022
actuals.contactTracers,actuals.hospitalBeds.capacity,0.5270697281042926
actuals.contactTracers,actuals.vaccinesDistributed,0.5178726933595575
actuals.positiveTests,actuals.icuBeds.currentUsageTotal,0.5157069112825011
actuals.cases,actuals.hospitalBeds.currentUsageCovid,0.505141818152268
actuals.newCases,actuals.hospitalBeds.weeklyCovidAdmissions,0.48437681762014795
actuals.icuBeds.currentUsageTotal,actuals.vaccinationsCompleted,0.48326828336724303
actuals.hospitalBeds.currentUsageCovid,actuals.positiveTests,0.4758576547444996
actuals.vaccinesAdministered,actuals.icuBeds.currentUsageTotal,0.46978664094841455
actuals.vaccinationsInitiated,actuals.icuBeds.currentUsageTotal,0.468595285721545
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.cases,0.46742174027357414
actuals.contactTracers,actuals.hospitalBeds.currentUsageTotal,0.45296100987407
actuals.negativeTests,actuals.hospitalBeds.capacity,0.45292001304673657
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,0.4481708977354324
actuals.hospitalBeds.currentUsageCovid,actuals.newCases,0.446167946232036
actuals.icuBeds.currentUsageCovid,actuals.cases,0.44026883918755055
actuals.icuBeds.currentUsageCovid,actuals.icuBeds.capacity,0.43789023561476226
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.positiveTests,0.431875809761349
actuals.negativeTests,actuals.cases,0.42232588428071244
actuals.contactTracers,actuals.deaths,0.4150503994212562
actuals.vaccinationsAdditionalDose,actuals.vaccinesDistributed,0.4002383819731058
actuals.icuBeds.capacity,actuals.contactTracers,0.39127734460826485
actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,0.390351772799756
actuals.vaccinationsAdditionalDose,actuals.negativeTests,0.38898673051358795
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.capacity,0.3841057622571516
actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,0.36021226149284113
actuals.cases,actuals.vaccinationsAdditionalDose,0.3520735139817008
actuals.icuBeds.currentUsageCovid,actuals.newCases,0.3424778266030891
actuals.hospitalBeds.currentUsageCovid,actuals.deaths,0.3291754198926504
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageTotal,0.32853074800490406
actuals.icuBeds.currentUsageCovid,actuals.positiveTests,0.32832668136862264
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.capacity,0.31610251411911977
actuals.hospitalBeds.capacity,actuals.icuBeds.currentUsageCovid,0.30548607973969355
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinesDistributed,0.29509071663594866
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageTotal,0.29461673672777716
actuals.icuBeds.capacity,actuals.negativeTests,0.2829159757074517
actuals.deaths,actuals.hospitalBeds.weeklyCovidAdmissions,0.28206031220249916
actuals.contactTracers,actuals.cases,0.2783039331024999
actuals.vaccinationsInitiated,actuals.vaccinationsAdditionalDose,0.275131951606464
actuals.vaccinesDistributed,actuals.hospitalBeds.weeklyCovidAdmissions,0.26978458163667
actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.weeklyCovidAdmissions,0.2681967967589991
actuals.vaccinationsCompleted,actuals.vaccinationsAdditionalDose,0.26463900033176585
actuals.vaccinationsAdditionalDose,actuals.newCases,0.25958017008216017
actuals.hospitalBeds.capacity,actuals.hospitalBeds.weeklyCovidAdmissions,0.25645698576992193
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinesAdministered,0.2432426477404366
actuals.deaths,actuals.icuBeds.currentUsageCovid,0.24147921327140492
actuals.vaccinesAdministered,actuals.hospitalBeds.weeklyCovidAdmissions,0.22514327647325738
actuals.contactTracers,actuals.positiveTests,0.22318131196767546
actuals.positiveTests,actuals.newCases,0.2141114368727272
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinationsCompleted,0.21266684616826548
actuals.vaccinationsInitiated,actuals.hospitalBeds.currentUsageCovid,0.20515988340063346
actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.currentUsageCovid,0.19800674977866914
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.vaccinationsCompleted,0.18929470769612494
actuals.cases,actuals.newCases,0.1828618207191377
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.vaccinationsInitiated,0.17912175500774266
actuals.newDeaths,actuals.icuBeds.currentUsageCovid,0.17901581139224723
actuals.vaccinesDistributed,actuals.icuBeds.currentUsageCovid,0.17618087666625748
actuals.newDeaths,actuals.hospitalBeds.currentUsageCovid,0.1745686672770531
actuals.deaths,actuals.vaccinationsAdditionalDose,0.1695323324558463
actuals.vaccinesAdministered,fips,0.16114902100714748
actuals.vaccinationsCompleted,fips,0.16081167259647441
actuals.icuBeds.currentUsageTotal,actuals.contactTracers,0.15831318736109937
actuals.icuBeds.currentUsageTotal,actuals.newCases,0.15572280042395178
actuals.newDeaths,actuals.hospitalBeds.weeklyCovidAdmissions,0.14937859415728244
actuals.vaccinationsInitiated,fips,0.14749967837420955
actuals.hospitalBeds.capacity,fips,0.14581760602604688
actuals.newCases,actuals.vaccinesDistributed,0.1321379773795534
actuals.newCases,actuals.vaccinesAdministered,0.1320663503151492
actuals.icuBeds.currentUsageCovid,actuals.vaccinesAdministered,0.12559350532455085
actuals.icuBeds.capacity,fips,0.11954059935737939
actuals.icuBeds.currentUsageCovid,actuals.vaccinationsCompleted,0.11133881926607178
actuals.hospitalBeds.currentUsageTotal,fips,0.10616481567572086
actuals.vaccinesDistributed,fips,0.10565438894420297
actuals.icuBeds.capacity,actuals.newCases,0.10466607601133197
actuals.newCases,actuals.vaccinationsInitiated,0.10262971820813081
actuals.newCases,actuals.vaccinationsCompleted,0.10111205183539754
actuals.icuBeds.currentUsageTotal,actuals.negativeTests,0.09899574688442903
actuals.icuBeds.currentUsageCovid,actuals.vaccinationsInitiated,0.09677345252854982
actuals.newCases,actuals.deaths,0.09314622947567382
actuals.newDeaths,actuals.icuBeds.currentUsageTotal,0.08855178578336652
actuals.newCases,actuals.hospitalBeds.currentUsageTotal,0.08326550342930018
actuals.newCases,actuals.negativeTests,0.08243920280587314
fips,actuals.vaccinationsAdditionalDose,0.06789466993534578
actuals.cases,actuals.newDeaths,0.06150023742858413
fips,actuals.newCases,0.048806699479337246
actuals.vaccinationsAdditionalDose,actuals.icuBeds.currentUsageCovid,0.04491392686401604
