,,0
fips,fips,1.0
metrics.weeklyNewCasesPer100k,metrics.caseDensity,0.9999999196590589
actuals.vaccinesAdministered,actuals.vaccinationsCompleted,0.9974682505476598
actuals.vaccinesDistributed,actuals.vaccinesAdministered,0.9948453039260237
actuals.vaccinationsCompleted,actuals.vaccinesDistributed,0.9943748372073682
actuals.vaccinationsCompleted,actuals.vaccinationsInitiated,0.9920422592271224
actuals.vaccinationsInitiated,actuals.vaccinesDistributed,0.9911834729144698
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9910372574780414
actuals.vaccinationsInitiated,actuals.vaccinesAdministered,0.9907188282048693
actuals.hospitalBeds.capacity,actuals.icuBeds.capacity,0.9842169059411542
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9775489013533122
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9747001841625074
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageTotal,0.9710694331078402
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageCovid,0.9653918144575887
actuals.deaths,actuals.cases,0.9653441449259651
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.capacity,0.963227102156432
metrics.vaccinationsCompletedRatio,metrics.vaccinationsInitiatedRatio,0.9591990366108718
actuals.hospitalBeds.currentUsageTotal,actuals.deaths,0.9590014869895527
actuals.deaths,actuals.vaccinesDistributed,0.9559149133475435
actuals.hospitalBeds.capacity,actuals.deaths,0.9552200341066704
actuals.vaccinesDistributed,actuals.cases,0.9537819245960447
actuals.cases,actuals.positiveTests,0.9536601130971053
actuals.positiveTests,actuals.vaccinesAdministered,0.9512178014373648
actuals.positiveTests,actuals.vaccinesDistributed,0.9505312039856212
actuals.cases,actuals.hospitalBeds.capacity,0.9495023408111175
actuals.positiveTests,actuals.vaccinationsCompleted,0.9477547160761338
actuals.vaccinationsCompleted,actuals.cases,0.9472024769591705
actuals.vaccinesAdministered,actuals.cases,0.9455888528240082
actuals.cases,actuals.hospitalBeds.currentUsageTotal,0.9427342909954266
actuals.deaths,actuals.vaccinationsInitiated,0.9418480010501546
actuals.deaths,actuals.vaccinationsCompleted,0.9407919902144295
actuals.vaccinesDistributed,actuals.hospitalBeds.currentUsageTotal,0.938970155378247
actuals.vaccinesAdministered,actuals.deaths,0.9364078632521204
actuals.vaccinationsCompleted,actuals.hospitalBeds.capacity,0.9360507595500682
actuals.icuBeds.capacity,actuals.deaths,0.9352837034856039
actuals.hospitalBeds.capacity,actuals.vaccinesDistributed,0.9351311390272449
actuals.vaccinationsCompleted,actuals.hospitalBeds.currentUsageTotal,0.9351235758392944
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsInitiated,0.9349726873774701
actuals.cases,actuals.vaccinationsInitiated,0.9305616599415604
actuals.vaccinationsInitiated,actuals.hospitalBeds.capacity,0.9300140117238127
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageCovid,0.9295683757348365
actuals.cases,actuals.icuBeds.capacity,0.9292055829892898
actuals.vaccinationsInitiated,actuals.positiveTests,0.9284186158784081
actuals.icuBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.9220231708507713
actuals.hospitalBeds.capacity,actuals.vaccinesAdministered,0.9209892398526209
actuals.vaccinesAdministered,actuals.hospitalBeds.currentUsageTotal,0.9209674769871511
actuals.deaths,actuals.positiveTests,0.9135465908089069
actuals.icuBeds.currentUsageTotal,actuals.deaths,0.9080177687391764
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageTotal,0.9065274994965835
actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,0.9038623741154354
actuals.icuBeds.capacity,actuals.vaccinesDistributed,0.9034483032762385
actuals.icuBeds.currentUsageTotal,actuals.cases,0.9026939173782592
actuals.vaccinationsCompleted,actuals.icuBeds.capacity,0.9020410930988838
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.capacity,0.9002777793956911
actuals.vaccinationsInitiated,actuals.icuBeds.capacity,0.8951545171682573
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageCovid,0.8942778955989539
actuals.cases,actuals.hospitalBeds.currentUsageCovid,0.8933654390646963
actuals.icuBeds.capacity,actuals.vaccinesAdministered,0.8832627457846871
