,,0
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.weeklyCovidAdmissions,1.0
actuals.vaccinationsCompleted,actuals.vaccinationsInitiated,0.9976830747207951
actuals.vaccinesAdministered,actuals.vaccinationsInitiated,0.9956018456150971
actuals.vaccinesAdministered,actuals.vaccinationsCompleted,0.9938761890401178
actuals.vaccinesDistributed,actuals.vaccinesAdministered,0.9896490904490828
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,0.9884902978839264
actuals.vaccinationsInitiated,actuals.vaccinesDistributed,0.9851612916417182
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9823779577242022
actuals.icuBeds.capacity,actuals.hospitalBeds.capacity,0.9796732495437372
actuals.vaccinationsCompleted,actuals.vaccinesDistributed,0.9796449420487375
actuals.hospitalBeds.currentUsageTotal,actuals.icuBeds.capacity,0.9744119963846444
actuals.hospitalBeds.capacity,actuals.icuBeds.currentUsageTotal,0.9723232477790184
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageTotal,0.9688953207650104
actuals.hospitalBeds.currentUsageCovid,actuals.icuBeds.currentUsageCovid,0.9381123736374427
actuals.hospitalBeds.capacity,actuals.cases,0.934100313943429
actuals.deaths,actuals.hospitalBeds.capacity,0.9273099334316898
actuals.deaths,actuals.hospitalBeds.currentUsageTotal,0.9176790889321318
actuals.cases,actuals.icuBeds.capacity,0.9175267274945219
actuals.cases,actuals.hospitalBeds.currentUsageTotal,0.9153566633815992
actuals.cases,actuals.icuBeds.currentUsageTotal,0.9150775035961953
actuals.deaths,actuals.icuBeds.capacity,0.9130332162557834
actuals.deaths,actuals.cases,0.9111313926353976
actuals.icuBeds.currentUsageTotal,actuals.deaths,0.9104288239031009
actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.weeklyCovidAdmissions,0.9074707441381535
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinesDistributed,0.8820310681139731
actuals.cases,actuals.positiveTests,0.8799414616720427
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsInitiated,0.8734718368515496
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.weeklyCovidAdmissions,0.8686126352977881
actuals.vaccinesDistributed,actuals.hospitalBeds.capacity,0.8642327807866077
actuals.vaccinationsCompleted,actuals.negativeTests,0.8590983051966653
actuals.icuBeds.capacity,actuals.vaccinesDistributed,0.8588795920401421
actuals.vaccinationsInitiated,actuals.positiveTests,0.8577608734072584
actuals.vaccinesAdministered,actuals.hospitalBeds.currentUsageTotal,0.8571316367153143
actuals.vaccinesDistributed,actuals.positiveTests,0.8564715689535313
actuals.hospitalBeds.capacity,actuals.vaccinationsInitiated,0.8549768585974828
actuals.vaccinesAdministered,actuals.positiveTests,0.8542603399064702
actuals.icuBeds.capacity,actuals.vaccinationsInitiated,0.8537303431849463
actuals.hospitalBeds.currentUsageTotal,actuals.vaccinationsCompleted,0.8531410467649332
actuals.negativeTests,actuals.vaccinationsInitiated,0.8500622301528092
actuals.negativeTests,actuals.vaccinesAdministered,0.8499493543469832
actuals.cases,actuals.vaccinesDistributed,0.8498348039592232
actuals.vaccinationsCompleted,actuals.positiveTests,0.8462297277909929
actuals.vaccinesAdministered,actuals.hospitalBeds.capacity,0.8384907189276287
actuals.positiveTests,actuals.hospitalBeds.currentUsageTotal,0.8383075969384411
actuals.icuBeds.capacity,actuals.vaccinesAdministered,0.8372841926510765
actuals.positiveTests,actuals.negativeTests,0.8338847155218359
actuals.icuBeds.capacity,actuals.vaccinationsCompleted,0.8334652587395047
actuals.vaccinationsCompleted,actuals.hospitalBeds.capacity,0.8332933603107785
actuals.vaccinesAdministered,actuals.cases,0.8295924982480537
actuals.vaccinationsInitiated,actuals.cases,0.829528944194762
actuals.vaccinesDistributed,actuals.negativeTests,0.8234442541959394
actuals.icuBeds.currentUsageTotal,actuals.vaccinesDistributed,0.821152387425637
actuals.positiveTests,actuals.hospitalBeds.capacity,0.8189546380231663
actuals.icuBeds.capacity,actuals.positiveTests,0.8171605423184903
actuals.icuBeds.currentUsageTotal,actuals.vaccinationsInitiated,0.8088297367261907
actuals.vaccinationsCompleted,actuals.cases,0.8086107332311276
actuals.positiveTests,actuals.deaths,0.794238019884555
actuals.icuBeds.currentUsageTotal,actuals.positiveTests,0.793558547584769
actuals.vaccinesAdministered,actuals.icuBeds.currentUsageTotal,0.7911380660076996
actuals.deaths,actuals.vaccinesDistributed,0.7889353090621074
actuals.vaccinationsCompleted,actuals.icuBeds.currentUsageTotal,0.7833479986940882
actuals.deaths,actuals.vaccinationsInitiated,0.753166019519912
actuals.deaths,actuals.vaccinesAdministered,0.7487948792182616
actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,0.7466525732535011
actuals.contactTracers,actuals.vaccinationsCompleted,0.7441447098207189
actuals.contactTracers,actuals.vaccinationsInitiated,0.7425392060685202
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,0.7359622253461271
actuals.contactTracers,actuals.vaccinesAdministered,0.735240896604177
actuals.vaccinationsCompleted,actuals.deaths,0.7237523787698011
actuals.vaccinesDistributed,actuals.contactTracers,0.7120023753357334
actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,0.6983720526105869
actuals.icuBeds.capacity,actuals.icuBeds.currentUsageCovid,0.6950699678641189
actuals.hospitalBeds.currentUsageTotal,actuals.negativeTests,0.6941900245283674
actuals.icuBeds.capacity,actuals.hospitalBeds.currentUsageCovid,0.6897035049451032
actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageCovid,0.6837602377293623
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.capacity,0.6763421738276868
actuals.icuBeds.capacity,actuals.negativeTests,0.6762960294458442
actuals.icuBeds.currentUsageCovid,actuals.hospitalBeds.currentUsageTotal,0.6701696352795649
actuals.cases,actuals.negativeTests,0.6582764432628595
actuals.hospitalBeds.currentUsageCovid,actuals.cases,0.6572219380678939
actuals.negativeTests,actuals.hospitalBeds.capacity,0.6502453340653789
actuals.cases,actuals.icuBeds.currentUsageCovid,0.6486315455259904
actuals.vaccinationsInitiated,actuals.hospitalBeds.currentUsageCovid,0.6378469938280386
actuals.icuBeds.currentUsageTotal,actuals.hospitalBeds.weeklyCovidAdmissions,0.6295144610746872
actuals.positiveTests,actuals.contactTracers,0.6236375920282831
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinesAdministered,0.6220768857281614
actuals.hospitalBeds.currentUsageCovid,actuals.vaccinesDistributed,0.6205818011970329
actuals.vaccinationsCompleted,actuals.hospitalBeds.currentUsageCovid,0.6197424833064483
actuals.contactTracers,actuals.negativeTests,0.617918286666326
actuals.hospitalBeds.currentUsageCovid,actuals.positiveTests,0.6123608853199054
actuals.negativeTests,actuals.deaths,0.5986103170986168
actuals.negativeTests,actuals.icuBeds.currentUsageTotal,0.5975275433117035
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.icuBeds.capacity,0.5921734202153224
actuals.cases,actuals.hospitalBeds.weeklyCovidAdmissions,0.5868637294169511
actuals.contactTracers,actuals.cases,0.5862990749475904
actuals.hospitalBeds.capacity,actuals.hospitalBeds.weeklyCovidAdmissions,0.5833546648752507
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hospitalBeds.currentUsageTotal,0.5752900362545988
actuals.icuBeds.capacity,actuals.contactTracers,0.569828373815452
actuals.vaccinationsInitiated,actuals.icuBeds.currentUsageCovid,0.5634972504736898
actuals.hospitalBeds.currentUsageTotal,actuals.contactTracers,0.5577456283217039
actuals.icuBeds.currentUsageCovid,actuals.positiveTests,0.5547668811964271
actuals.deaths,actuals.hospitalBeds.currentUsageCovid,0.5514982090914579
actuals.contactTracers,actuals.icuBeds.currentUsageTotal,0.5444955540886843
actuals.icuBeds.currentUsageCovid,actuals.vaccinationsCompleted,0.5431904571345643
actuals.contactTracers,actuals.hospitalBeds.capacity,0.5370051744634817
actuals.vaccinesAdministered,actuals.icuBeds.currentUsageCovid,0.5369753003840925
actuals.icuBeds.currentUsageCovid,actuals.vaccinesDistributed,0.5367841916388391
actuals.icuBeds.currentUsageCovid,actuals.deaths,0.5313300924320477
actuals.positiveTests,actuals.hospitalBeds.weeklyCovidAdmissions,0.5302303433590234
actuals.vaccinationsInitiated,actuals.hospitalBeds.weeklyCovidAdmissions,0.5149504547930143
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.vaccinesAdministered,0.5022182218844686
actuals.vaccinationsCompleted,actuals.hospitalBeds.weeklyCovidAdmissions,0.49710556676261813
actuals.vaccinesDistributed,actuals.vaccinationsAdditionalDose,0.494476379860255
actuals.vaccinesDistributed,actuals.hospitalBeds.weeklyCovidAdmissions,0.4811341157084184
actuals.hospitalBeds.currentUsageCovid,actuals.contactTracers,0.478643918739137
actuals.vaccinesAdministered,actuals.vaccinationsAdditionalDose,0.47787364252156456
actuals.deaths,actuals.hospitalBeds.weeklyCovidAdmissions,0.4628376495944075
actuals.contactTracers,actuals.icuBeds.currentUsageCovid,0.4490875482303011
actuals.negativeTests,actuals.hospitalBeds.currentUsageCovid,0.441280430801036
actuals.contactTracers,actuals.deaths,0.4355112720482528
actuals.cases,actuals.vaccinationsAdditionalDose,0.4121256297890364
actuals.contactTracers,actuals.hospitalBeds.weeklyCovidAdmissions,0.404990724789846
actuals.vaccinationsInitiated,actuals.vaccinationsAdditionalDose,0.4012662091921071
actuals.vaccinationsCompleted,actuals.vaccinationsAdditionalDose,0.38567363169384233
actuals.vaccinationsAdditionalDose,actuals.deaths,0.3848999233809949
actuals.positiveTests,actuals.vaccinationsAdditionalDose,0.3809653747127769
actuals.newCases,actuals.hospitalBeds.currentUsageCovid,0.3673409884615726
actuals.newCases,actuals.hospitalBeds.weeklyCovidAdmissions,0.36629893658010104
actuals.icuBeds.currentUsageCovid,actuals.negativeTests,0.35010133263465026
actuals.negativeTests,actuals.vaccinationsAdditionalDose,0.34540559341644056
actuals.hospitalBeds.weeklyCovidAdmissions,actuals.negativeTests,0.33759561065514093
actuals.icuBeds.currentUsageCovid,actuals.newDeaths,0.324226931004504
actuals.newDeaths,actuals.hospitalBeds.currentUsageCovid,0.31158990655015
actuals.newCases,actuals.newDeaths,0.3115816407743515
actuals.icuBeds.currentUsageTotal,actuals.newDeaths,0.307282659046531
actuals.vaccinationsAdditionalDose,actuals.hospitalBeds.currentUsageTotal,0.2855446029564036
actuals.newCases,actuals.icuBeds.currentUsageCovid,0.2853437463176326
actuals.hospitalBeds.capacity,actuals.vaccinationsAdditionalDose,0.2800581701952439
actuals.newDeaths,actuals.hospitalBeds.currentUsageTotal,0.27620531648148344
actuals.newDeaths,actuals.icuBeds.capacity,0.27202559047585917
actuals.icuBeds.capacity,actuals.vaccinationsAdditionalDose,0.2700381391858848
